id,title,category,equipment,fitness_goal,workout_type,gender,training_level,days_per_week,program_duration_weeks,time_per_workout,author,num_sections,num_exercises,has_video,has_pdf,url
advanced-muscle-building-workout-for-women,8-Week Advanced Muscle Building Workout for Women,program,fully equipped gym,muscle building,split,women,advanced,4,8,60-90 minutes,"Roger \u201cRock\u201d Lockridge, Senior Writer",4,32,False,True,https://www.muscleandstrength.com/workouts/advanced-muscle-building-workout-for-women
at-home-glute-building-program,4-Day At-Home Glute Building Workout,full_workout,home / small gym,muscle building,split,both,beginner,4,8,45-60 minutes,"Roger \u201cRock\u201d Lockridge, Senior Writer",4,27,False,True,https://www.muscleandstrength.com/workouts/at-home-glute-building-program
back-shoulder-workout-routine-women,Back And Shoulder Workout Routine For Women,focused,home / small gym,muscle building,single muscle group,women,beginner,2,6,45-60 minutes,Holly Blumenberg,1,6,False,True,https://www.muscleandstrength.com/workouts/back-shoulder-workout-routine-women
backyard-bodyweight-workout,Backyard Bodyweight Workout For Women: Take It Out Back,full_workout,body weight,general fitness,full body,women,beginner,3,8,20-30 minutes,Sarah Kesseli,1,9,False,True,https://www.muscleandstrength.com/workouts/backyard-bodyweight-workout
band-barbell-workout,8 Week Barbell and Resistance Band Muscle Building Workout,program,home / small gym,muscle building,split,both,beginner,3,8,30 minutes,"Roger \u201cRock\u201d Lockridge, Senior Writer",3,21,False,True,https://www.muscleandstrength.com/workouts/band-barbell-workout
band-only-muscle-building-workout,Band Only Muscle Building Workout,full_workout,home / small gym,muscle building,split,both,beginner,3,4,30-45 minutes,Tom MacCormick,3,18,False,True,https://www.muscleandstrength.com/workouts/band-only-muscle-building-workout
barbell-hack-squats-workouts-quads,Barbell Hack Squat Workouts For Bigger Quads,focused,fully equipped gym,muscle building,single muscle group,both,beginner,2,6,60-75 minutes,Fitman,4,15,False,True,https://www.muscleandstrength.com/workouts/barbell-hack-squats-workouts-quads
beef-up-bench-press-10x3-workout-program,Beef Up Your Bench Press 10x3 Workout Program,full_workout,fully equipped gym,strength,split,men,intermediate,3,17,60-75 minutes,Steve Shaw,3,18,False,True,https://www.muscleandstrength.com/workouts/beef-up-bench-press-10x3-workout-program
beginner-fat-loss-workout,8 Week Fat Loss Workout for Beginners,program,fully equipped gym,fat loss,split,both,beginner,4,8,45-60 minutes,"Roger \u201cRock\u201d Lockridge, Senior Writer",4,24,False,True,https://www.muscleandstrength.com/workouts/beginner-fat-loss-workout
bench-most-dayz,Bench Most Dayz: Increase Bench Press Workout,focused,home / small gym,strength,single muscle group,both,beginner,4,6,45-60 minutes,Cory Gregory,3,21,True,True,https://www.muscleandstrength.com/workouts/bench-most-dayz
best-chest-workout-push-stretch-method,Best Chest Workout: The Push & Stretch Method For Killer Chest Gains,focused,fully equipped gym,muscle building,single muscle group,both,intermediate,1,8,45-60 minutes,"Roger \u201cRock\u201d Lockridge, Senior Writer",1,6,False,True,https://www.muscleandstrength.com/workouts/best-chest-workout-push-stretch-method
best-full-body-workout-routine-for-women,The Best Full Body Workout Routine for Women,program,fully equipped gym,fat loss,full body,women,beginner,4,12,60-90 minutes,Josh England,8,38,False,True,https://www.muscleandstrength.com/workouts/best-full-body-workout-routine-for-women
best-muscle-building-workouts-for-natural-bodybuilders,The Best Muscle Building Workout for Natural Bodybuilders,full_workout,fully equipped gym,muscle building,split,both,beginner,6,18,60-90 minutes,Josh England,9,51,False,True,https://www.muscleandstrength.com/workouts/best-muscle-building-workouts-for-natural-bodybuilders
big-and-strong-advanced-program,Big and Strong: 8 Week Advanced Strength Building Workout,program,fully equipped gym,strength,split,both,advanced,5,8,60-90 minutes,"Roger \u201cRock\u201d Lockridge, Senior Writer",5,25,False,True,https://www.muscleandstrength.com/workouts/big-and-strong-advanced-program
big-arms-fast-4-week-specialization-workout,Big Arms Fast: 4 Week Specialization Workout,program,fully equipped gym,muscle building,split,both,beginner,2,4,15-30 minutes,Justin Woltering,8,43,False,True,https://www.muscleandstrength.com/workouts/big-arms-fast-4-week-specialization-workout
big-traps-2-day-trapezius-workout,Big Traps: 2 Day Trapezius Building Workout,focused,home / small gym,muscle building,single muscle group,both,intermediate,2,8,30-45 minutes,Steve Shaw,2,8,False,True,https://www.muscleandstrength.com/workouts/big-traps-2-day-trapezius-workout
bigger-bench-press-chest-135-pounds,A Bigger Bench Press & Chest Using Only 135 Pounds - Really,focused,home / small gym,muscle building,single muscle group,both,intermediate,2,4,10-15 minutes,M&S Writers,1,3,False,True,https://www.muscleandstrength.com/workouts/bigger-bench-press-chest-135-pounds
bikini-ready-8-week-womens-workout,Bikini Ready Workout: 8 Week Workout for Women,program,fully equipped gym,fat loss,split,women,beginner,7,8,45-70 minutes,M&S Team,5,31,False,True,https://www.muscleandstrength.com/workouts/bikini-ready-8-week-womens-workout
bill-starr-5x5-linear-version-intermediate-lifters,Bill Starr 5x5 Linear Version For Intermediate Lifters,full_workout,home / small gym,strength,full body,both,intermediate,3,12,75 minutes,M&S Writers,2,13,False,True,https://www.muscleandstrength.com/workouts/bill-starr-5x5-linear-version-intermediate-lifters.html
blast-and-pump-arm-workout,Blast And Pump Arm Workout,focused,fully equipped gym,muscle building,single muscle group,both,intermediate,1,8,30-45 minutes,M&S Writers,2,16,False,True,https://www.muscleandstrength.com/workouts/blast-and-pump-arm-workout.html
body-god-complete-bodyweight-muscle-building-plan,Body Like A God: A Complete Bodyweight Muscle Building Plan,full_workout,body weight,muscle building,full body,both,beginner,4,4,30-60 minutes,Brad Borland,2,20,False,True,https://www.muscleandstrength.com/workouts/body-god-complete-bodyweight-muscle-building-plan
bodyweight-basics-3-day-workout,Bodyweight Basics: 3 Day Bodyweight Workout Plan,full_workout,body weight,general fitness,split,both,beginner,3,4,15-30 minutes,"Roger \u201cRock\u201d Lockridge, Senior Writer",3,12,False,True,https://www.muscleandstrength.com/workouts/bodyweight-basics-3-day-workout
boost-your-bench-press,Boost Your Bench Press: The Ultimate Workout Plan to Increase Strength and Power,program,fully equipped gym,strength,full body,both,beginner,4,10,60 minutes,"Roger \u201cRock\u201d Lockridge, Senior Writer",5,30,False,True,https://www.muscleandstrength.com/workouts/boost-your-bench-press
booty-burner-courtney-king-full-glute-workout,Booty Burner: Courtney King's Full Glute Workout,focused,fully equipped gym,muscle building,single muscle group,women,intermediate,1,8,45-60 minutes,M&S Team,1,8,True,True,https://www.muscleandstrength.com/workouts/booty-burner-courtney-king-full-glute-workout
build-muscle-bodyweight-workout-routine-circuit,Build Muscle With This Bodyweight Workout Routine Circuit,full_workout,body weight,general fitness,full body,both,beginner,3,,,L.J. Walker,1,9,False,False,https://www.muscleandstrength.com/workouts/build-muscle-bodyweight-workout-routine-circuit
build-without-the-bulk,Build Without the Bulk: 6 Week Muscle Building Workout for Women,program,fully equipped gym,muscle building,split,women,beginner,7,6,90 minutes,"Roger \u201cRock\u201d Lockridge, Senior Writer",4,41,False,True,https://www.muscleandstrength.com/workouts/build-without-the-bulk
building-the-beginner,Building The Beginner: Foundation for Muscle & Strength,program,fully equipped gym,muscle building,split,both,beginner,5,6,45-60 minutes,Team MuscleTech,15,84,True,True,https://www.muscleandstrength.com/workouts/building-the-beginner
building-the-x-frame-10-week-workout,Building the X Frame: 10 Week Muscle Building Workout,program,fully equipped gym,muscle building,split,men,intermediate,4,10,45-60 minutes,Brad Borland,2,20,False,True,https://www.muscleandstrength.com/workouts/building-the-x-frame-10-week-workout
built-different-ppl-workout,Built Different Program: 6 Day PPL Workout Routine,full_workout,fully equipped gym,muscle building,split,both,advanced,6,10,45-60 minutes,M&S Team,6,36,False,True,https://www.muscleandstrength.com/workouts/built-different-ppl-workout
bulldozer-training-3-day-workout-split,Bulldozer Training 3 Day Workout Split,full_workout,fully equipped gym,muscle building,split,men,intermediate,3,8,30-45 minutes,Steve Shaw,3,24,False,True,https://www.muscleandstrength.com/workouts/bulldozer-training-3-day-workout-split
butt-gear-3-day-glute-workout,Get Your Butt In Gear: 3 Day Glute Workout,focused,home / small gym,muscle building,single muscle group,both,beginner,3,10,30-45 minutes,Fitman,5,18,False,True,https://www.muscleandstrength.com/workouts/butt-gear-3-day-glute-workout
chadwick-boseman-workout-program,Chadwick Boseman Inspired Workout: Train Like Black Panther,full_workout,home / small gym,fat loss,full body,men,intermediate,5,8,30-60 minutes,Josh England,3,19,True,True,https://www.muscleandstrength.com/workouts/chadwick-boseman-workout-program
charles-glass-beginners-essentials-bodybuilding-workout,Charles Glass's Beginner's Essentials Bodybuilding Workout,full_workout,fully equipped gym,fat loss,split,both,beginner,5,12,30-60 minutes,M&S Team,6,29,True,True,https://www.muscleandstrength.com/workouts/charles-glass-beginners-essentials-bodybuilding-workout
,The Circuit Style Trainer for Women,full_workout,fully equipped gym,general fitness,full body,women,beginner,2,8,30 minutes,John Matulevich,2,18,False,True,
clear-muscle-challenge,The 12-Week Clear Muscle Challenge Workout,program,fully equipped gym,muscle building,full body,men,advanced,3,12,60-90 minutes,Team MuscleTech,36,197,False,True,https://www.muscleandstrength.com/workouts/clear-muscle-challenge
cobra-back-workout,The Cobra Workout: Heavy High Volume Back Program,focused,fully equipped gym,muscle building,single muscle group,both,intermediate,2,8,60-90 minutes,"Coach Dustin Myers, CSCS",2,15,False,True,https://www.muscleandstrength.com/workouts/cobra-back-workout
combat-your-weakness-program,Combat Your Weakness Workout Program For Muscle And Strength Gains,full_workout,fully equipped gym,muscle building,full body,both,intermediate,5,6,60-75 minutes,Charles Cunningham,5,35,False,True,https://www.muscleandstrength.com/workouts/combat-your-weakness-program
combo-fat-burner-workout,MusclePharm Combo Arm Blasting Workout,full_workout,fully equipped gym,fat loss,split,both,beginner,1,6,60-75 minutes,Cory Gregory,1,20,False,True,https://www.muscleandstrength.com/workouts/combo-fat-burner-workout
concrete-core-workouts,Concrete Core: 4 Core Workouts for Stronger Abs,focused,home / small gym,strength,single muscle group,both,beginner,4,,,Josh England,4,12,False,False,https://www.muscleandstrength.com/workouts/concrete-core-workouts
conditioning-comeback-8-week-conditioning-workout,The Conditioning Comeback: 8 Week Total Body Fitness Workout,program,home / small gym,general fitness,split,both,beginner,3,8,40-60 minutes,"Roger \u201cRock\u201d Lockridge, Senior Writer",3,17,False,True,https://www.muscleandstrength.com/workouts/conditioning-comeback-8-week-conditioning-workout
conditioning-workout-for-women,Whole Body Conditioning Workout For Women,full_workout,fully equipped gym,muscle building,full body,both,beginner,7,8,30-60 minutes,Barbara Greene,3,28,False,True,https://www.muscleandstrength.com/workouts/conditioning-workout-for-women.html
conjugate-system-beginner-powerlifting-workout-phase-1,The Conjugate System: Phase 1 of the Beginner Powerlifting Workout,full_workout,fully equipped gym,strength,split,both,beginner,4,4,60-90 minutes,Nick Showman,16,103,False,True,https://www.muscleandstrength.com/workouts/conjugate-system-beginner-powerlifting-workout-phase-1
core-destroyer-8-week-home-ab-workout,Core Destroyer: 8 Week At Home Ab Workout,focused,home / small gym,muscle building,single muscle group,both,beginner,2,8,10-20 minutes,"Roger \u201cRock\u201d Lockridge, Senior Writer",2,10,False,True,https://www.muscleandstrength.com/workouts/core-destroyer-8-week-home-ab-workout
core-strength-blueprint-4,MusclePharm's Core Strength Blueprint Workout v1.4 With Coach Myers,program,home / small gym,strength,full body,both,intermediate,4,4,15-30 minutes,"Coach Dustin Myers, CSCS",4,24,False,True,https://www.muscleandstrength.com/workouts/core-strength-blueprint-4
core-strength-fat-burn-workout,"Core, Strength And Fat Burn Workout",full_workout,home / small gym,fat loss,full body,both,intermediate,6,6,45-60 minutes,Danial Kelly,2,17,False,True,https://www.muscleandstrength.com/workouts/core-strength-fat-burn-workout
core-strength-road-map,Core Strength Road Map: 4 Weeks to a Shredded & Strong Core,focused,fully equipped gym,strength,single muscle group,both,beginner,3,4,15-30 minutes,"Coach Dustin Myers, CSCS",4,25,False,True,https://www.muscleandstrength.com/workouts/core-strength-road-map
core-strength-rotational-anti-rotational-movements,Core Strength Road Map: Mastering Rotation and Stability,focused,home / small gym,muscle building,single muscle group,both,beginner,1,,,"Coach Dustin Myers, CSCS",2,9,False,False,https://www.muscleandstrength.com/workouts/core-strength-rotational-anti-rotational-movements
core-training-workout-exercises-strength,Core Training Workout: 5 Exercises To Build Core Strength,focused,fully equipped gym,general fitness,single muscle group,both,beginner,2,6,15-30 minutes,John Gormen,1,5,False,True,https://www.muscleandstrength.com/workouts/core-training-workout-exercises-strength
cory-gregory-brick-soup-abs-routine,"Cory Gregory's ""Make Your Own Brick Soup"" Ab Workout",focused,home / small gym,muscle building,single muscle group,both,beginner,4,4,15-30 minutes,Cory Gregory,4,8,True,True,https://www.muscleandstrength.com/workouts/cory-gregory-brick-soup-abs-routine
deadlift-specialization-program,5-Day Deadlift Workout Program for Max Strength,program,fully equipped gym,strength,split,both,intermediate,5,8,60 minutes,"Roger \u201cRock\u201d Lockridge, Senior Writer",5,21,False,True,https://www.muscleandstrength.com/workouts/deadlift-specialization-program
density-giant-set-training-maintain-muscle-fat-loss,Density Giant Set Training: Maintain Muscle During Fat Loss,full_workout,home / small gym,fat loss,split,both,intermediate,3,8,30-45 minutes,John Matulevich,3,18,False,True,https://www.muscleandstrength.com/workouts/density-giant-set-training-maintain-muscle-fat-loss.html
drop-5-home-workout-4-day-plan,Drop 5 System: 4 Day Home Muscle Building Plan,full_workout,home / small gym,muscle building,split,both,intermediate,4,9,30-45 minutes,Steve Shaw,4,20,False,True,https://www.muscleandstrength.com/workouts/drop-5-home-workout-4-day-plan
dumbbar-supersets,DumbBar Workout: Make Killer Gains With Dumbbell & Barbell Supersets,full_workout,home / small gym,muscle building,split,both,beginner,6,8,20-30 minutes,"Roger \u201cRock\u201d Lockridge, Senior Writer",11,61,False,True,https://www.muscleandstrength.com/workouts/dumbbar-supersets
dumbbell-barbell-home-workout,3 Day Dumbbell & Barbell Home Workout,full_workout,home / small gym,muscle building,split,both,intermediate,3,6,45 minutes,M&S Writers,3,15,False,True,https://www.muscleandstrength.com/workouts/dumbbell-barbell-home-workout.html
dumbbell-barbell-mass-workout,Dumbbell & Barbell Mass Workout,full_workout,home / small gym,muscle building,split,both,intermediate,5,8,65 minutes,M&S Writers,5,29,False,True,https://www.muscleandstrength.com/workouts/dumbbell-barbell-mass-workout.html
dumbbell-bodyweight-chest-workout,3 Dumbbell and Bodyweight Chest Workouts (No Bench Needed!),focused,home / small gym,muscle building,single muscle group,both,beginner,2,6,20-40 minutes,"Roger \u201cRock\u201d Lockridge, Senior Writer",3,12,False,True,https://www.muscleandstrength.com/workouts/dumbbell-bodyweight-chest-workout
dumbbell-bodyweight-circuit-workout-women,Dumbbell And Bodyweight Circuit Workout For Women,full_workout,home / small gym,general fitness,full body,women,beginner,1,6,30-45 minutes,M&S Writers,0,0,False,False,https://www.muscleandstrength.com/workouts/dumbbell-bodyweight-circuit-workout-women
dumbbell-only-home-or-gym-fullbody-workout,Dumbbell Only Home Or Gym Full Body Workout,full_workout,home / small gym,muscle building,full body,men,beginner,3,8,30 minutes,Steve Shaw,3,18,False,True,https://www.muscleandstrength.com/workouts/dumbbell-only-home-or-gym-fullbody-workout.html
dumbbell-only-upper-lower-workout-routine,4 Day Dumbbell Only Upper/Lower Workout Routine,full_workout,home / small gym,muscle building,split,both,beginner,4,12,45-60 minutes,Josh England,4,26,False,True,https://www.muscleandstrength.com/workouts/dumbbell-only-upper-lower-workout-routine
express-workout-program,The Express Workout Program: Quick Workouts for Quick Results,full_workout,fully equipped gym,fat loss,full body,both,intermediate,3,6,60 minutes,Samantha Meinrod,3,51,False,True,https://www.muscleandstrength.com/workouts/express-workout-program
fast-start-3-day-kettlebell-workout-women,Fast Start 3 Day Home Kettlebell Workout For Women,full_workout,home / small gym,general fitness,full body,women,beginner,3,6,60-90 minutes,Jonathan Byrd,1,11,False,True,https://www.muscleandstrength.com/workouts/fast-start-3-day-kettlebell-workout-women
fat-loss-inferno-5-day-workout,Fat Loss Inferno: 5 Day Workout to Get Ripped,full_workout,fully equipped gym,fat loss,split,both,intermediate,5,6,45-70 minutes,M&S Team,5,27,False,True,https://www.muscleandstrength.com/workouts/fat-loss-inferno-5-day-workout
fouad-abiad-back-workout,"Build a ""Hoss"" Back w/ Fouad Abiad's Back Workout",focused,fully equipped gym,muscle building,single muscle group,men,advanced,1,8,45-60 minutes,Fouad Abiad,1,5,True,True,https://www.muscleandstrength.com/workouts/fouad-abiad-back-workout
fouad-abiads-shoulder-workout,Build “Hoss” Shoulders w/ Fouad Abiad’s Shoulder Workout,focused,fully equipped gym,muscle building,single muscle group,men,advanced,1,8,45-60 minutes,Fouad Abiad,1,6,True,True,https://www.muscleandstrength.com/workouts/fouad-abiads-shoulder-workout
frankoman-2-day-intermediate-ab-routine,Frankoman's 2 Day Intermediate Ab Workout,focused,home / small gym,muscle building,single muscle group,both,intermediate,2,8,15-30 minutes,M&S Writers,2,10,False,True,https://www.muscleandstrength.com/workouts/frankoman-2-day-intermediate-ab-routine.html
frankoman-dumbbell-only-split,Frankoman's Dumbbell Only Split,full_workout,home / small gym,muscle building,split,both,beginner,3,10,45 minutes,M&S Writers,3,22,False,True,https://www.muscleandstrength.com/workouts/frankoman-dumbbell-only-split.html
full-body-blast-off-workout,Full Body Blast Off Workout - The Best Full Body Routine,full_workout,fully equipped gym,muscle building,full body,both,intermediate,7,4,60-90 minutes,"Coach Dustin Myers, CSCS",4,30,False,True,https://www.muscleandstrength.com/workouts/full-body-blast-off-workout
full-body-bodyweight-workout,Full Body Bodyweight Workout,full_workout,body weight,muscle building,full body,both,beginner,1,6,30-45 minutes,Jeremy Wood,1,6,False,True,https://www.muscleandstrength.com/workouts/full-body-bodyweight-workout.html
full-body-kettlebell-circuit-workout,Full Body Kettlebell at Home (or Anywhere) Circuit Workout,full_workout,home / small gym,general fitness,full body,both,beginner,3,8,15-60 minutes,Josh England,1,7,False,True,https://www.muscleandstrength.com/workouts/full-body-kettlebell-circuit-workout
full-body-smith-machine-workout,3 Day Smith Machine Only Workout for Women,full_workout,fully equipped gym,muscle building,full body,women,beginner,3,8,60 minutes,"Roger \u201cRock\u201d Lockridge, Senior Writer",3,18,False,True,https://www.muscleandstrength.com/workouts/full-body-smith-machine-workout
get-ripped-3-day-split,Get RIPPED: 3 Day Workout Split Plus Cardio Routine,full_workout,fully equipped gym,fat loss,split,both,intermediate,3,8,30-45 minutes,Josh England,3,20,False,True,https://www.muscleandstrength.com/workouts/get-ripped-3-day-split
get-ripped-supersets-giant-sets,Get Ripped With Supersets & Giant Sets,full_workout,fully equipped gym,fat loss,split,men,beginner,4,12,60-75 minutes,Brad Borland,5,28,False,True,https://www.muscleandstrength.com/workouts/get-ripped-supersets-giant-sets
get-swole-5-phase-muscle-building-workout,Get Swole: 5 Phase Muscle Building Workout System,program,fully equipped gym,muscle building,split,men,beginner,4,20,45-60 minutes,Cory Gregory,23,216,False,True,https://www.muscleandstrength.com/workouts/get-swole-5-phase-muscle-building-workout
giant-set-workouts-hypertrophy,Conquering The Giant: Giant Set Workouts For Hypertrophy & Fat Loss,focused,home / small gym,muscle building,single muscle group,both,intermediate,3,6,30-45 minutes,Mike Samuels,5,23,False,False,https://www.muscleandstrength.com/workouts/giant-set-workouts-hypertrophy
guns-a-blazing-workout,"The ""Guns-A-Blazing"" Arm Training Workout Routine",focused,fully equipped gym,muscle building,single muscle group,both,intermediate,2,8,75-90 minutes,"Coach Dustin Myers, CSCS",2,22,False,True,https://www.muscleandstrength.com/workouts/guns-a-blazing-workout
guns-of-glory-workout,Guns of Glory: An Arm Training Workout Program,focused,home / small gym,muscle building,single muscle group,both,intermediate,1,8,30-45 minutes,Team Allmax,1,8,True,True,https://www.muscleandstrength.com/workouts/guns-of-glory-workout
hardcore-look-at-jim-wendlers-5-3-1-powerlifting-system,A Hardcore Look At Wendler's 5/3/1 Powerlifting Routine,full_workout,home / small gym,strength,split,both,intermediate,3,,,M&S Writers,13,45,False,False,https://www.muscleandstrength.com/workouts/hardcore-look-at-jim-wendlers-5-3-1-powerlifting-system.html
hit-workout-high-intensity-training-routine,HIT Workout - Build Muscle With This High Intensity Training Routine,full_workout,fully equipped gym,muscle building,full body,both,beginner,3,6,15-30 minutes,Max Riley,1,13,False,True,https://www.muscleandstrength.com/workouts/hit-workout-high-intensity-training-routine
home-gym-barbell-workout-routine,Home Or Gym Barbell Workout Routine,full_workout,home / small gym,muscle building,split,both,beginner,4,10,30-45 minutes,Thomas Schultz,4,20,False,True,https://www.muscleandstrength.com/workouts/home-gym-barbell-workout-routine
increase-your-wingspan-workout,The Perfect Back Workout to Increase Your Wingspan,focused,fully equipped gym,muscle building,single muscle group,both,advanced,1,8,45-60 minutes,Team Allmax,1,7,True,True,https://www.muscleandstrength.com/workouts/increase-your-wingspan-workout
increasing-intensity-circuit-abs-workout,Increasing Intensity Circuit Abs Workout,focused,fully equipped gym,muscle building,single muscle group,both,intermediate,2,8,15-30 minutes,Scott Trumbley,1,24,False,True,https://www.muscleandstrength.com/workouts/increasing-intensity-circuit-abs-workout
jai-courtney-workout-terminator-genisys,Jai Courtney Workout: How Jai Got Swole for Terminator: Genisys,program,home / small gym,fat loss,full body,men,beginner,4,6,60-90 minutes,Brad Borland,4,20,False,True,https://www.muscleandstrength.com/workouts/jai-courtney-workout-terminator-genisys
jamal-browner-deadlift-program,"Jamal Browner’s 2-Day Deadlifting Program: Deadlift 1,000+ Lbs",focused,fully equipped gym,strength,single muscle group,both,intermediate,2,9,,Jamal Browner,4,20,True,True,https://www.muscleandstrength.com/workouts/jamal-browner-deadlift-program
jason-blaha-ice-cream-fitness-5x5-novice-workout,Jason Blaha's Ice Cream Fitness 5x5 Novice Program,full_workout,fully equipped gym,strength,full body,both,beginner,3,12,90 minutes,Jason Blaha,2,15,True,True,https://www.muscleandstrength.com/workouts/jason-blaha-ice-cream-fitness-5x5-novice-workout
jason-blaha-intermediate-strength-program,Jason Blaha's Off Season Linear Periodization Intermediate Strength Program #1,full_workout,home / small gym,strength,split,both,intermediate,4,12,60-75 minutes,M&S Writers,1,1,False,True,https://www.muscleandstrength.com/workouts/jason-blaha-intermediate-strength-program
jen-jewell-summer-countdown,Summer Countdown Workout: Burn Fat & Build A Bikini Booty,full_workout,home / small gym,fat loss,full body,women,beginner,4,4,30-45 minutes,Jen Jewell,4,31,False,True,https://www.muscleandstrength.com/workouts/jen-jewell-summer-countdown
jeremys-6-day-hardcore-strength-workout,Jeremy's 6 Day Hardcore Strength Workout,full_workout,home / small gym,strength,split,both,intermediate,6,6,60-90 minutes,Jeremy Wood,6,32,False,True,https://www.muscleandstrength.com/workouts/jeremys-6-day-hardcore-strength-workout.html
kelsos-bench-training,Kelso's Bench Press Training,focused,home / small gym,strength,single muscle group,both,intermediate,2,6,15-30 minutes,M&S Writers,2,6,False,True,https://www.muscleandstrength.com/workouts/kelsos-bench-training.html
kettlebell-dumbbell-hiit-workout,"No Kettlebell, No Problem - Dumbbell HIIT Workout",full_workout,home / small gym,fat loss,full body,both,beginner,2,4,60-75 minutes,Holly Blumenberg,1,17,False,True,https://www.muscleandstrength.com/workouts/kettlebell-dumbbell-hiit-workout
king-calisthenics-workout-lean-muscle,King of Calisthenics Workout: Lean Muscle Without Equipment,full_workout,body weight,muscle building,full body,both,beginner,3,6,30-45 minutes,Brad Borland,2,11,False,True,https://www.muscleandstrength.com/workouts/king-calisthenics-workout-lean-muscle
leg-carnage-quad-hamstring-workout,Leg Carnage: Superset Quad & Hamstring Workout,focused,fully equipped gym,muscle building,single muscle group,both,intermediate,1,3,30-60 minutes,Steve Shaw,1,8,False,True,https://www.muscleandstrength.com/workouts/leg-carnage-quad-hamstring-workout
limited-equipment-home-workout,5 Day Minimal Equipment Home Workout Routine,full_workout,home / small gym,fat loss,split,both,beginner,5,4,30-60 minutes,Eric Broser,5,25,False,True,https://www.muscleandstrength.com/workouts/limited-equipment-home-workout
low-rep-arm-shoulder-workout,Low Rep Arm And Shoulder Workout By MusclePharm,full_workout,home / small gym,muscle building,split,both,beginner,1,6,60-75 minutes,Cory Gregory,1,12,False,True,https://www.muscleandstrength.com/workouts/low-rep-arm-shoulder-workout
lower-body-blast-circuit-workout,Intense Lower Body Blast Circuit Workout,full_workout,body weight,general fitness,split,women,beginner,1,6,30-45 minutes,Sarah Kesseli,1,12,False,False,https://www.muscleandstrength.com/workouts/lower-body-blast-circuit-workout
machines-only-3-day-split,Machine Only Workout: A 3 Day Workout Split,full_workout,fully equipped gym,muscle building,split,both,beginner,3,6,30-45 minutes,M&S Team,3,17,False,True,https://www.muscleandstrength.com/workouts/machines-only-3-day-split
max-fat-burning-workouts,3 Fat Blasting Workouts for Maximum Fat Loss,full_workout,fully equipped gym,fat loss,full body,both,beginner,2,1,30-60 minutes,Eric Broser,3,31,False,True,https://www.muscleandstrength.com/workouts/max-fat-burning-workouts
monster-traps-workout,Monster Traps Workout,focused,home / small gym,muscle building,single muscle group,both,intermediate,1,8,5-15 minutes,Steve Shaw,1,2,False,True,https://www.muscleandstrength.com/workouts/monster-traps-workout.html
morning-workout-muscle-mass,Best Morning Workout For Building Muscle Mass,full_workout,fully equipped gym,muscle building,full body,both,beginner,4,6,30-45 minutes,Brad Borland,5,34,False,True,https://www.muscleandstrength.com/workouts/morning-workout-muscle-mass
mountain-dog-ppl-workout,"Mountain Dog PPL: Push, Pull, Legs Workout Routine w/ John Meadows",full_workout,fully equipped gym,muscle building,split,both,beginner,3,4,60-90 minutes,John Meadows,3,17,True,True,https://www.muscleandstrength.com/workouts/mountain-dog-ppl-workout
muscle-and-strength-30-day-womens-workout,Muscle & Strength's 30 Day Workout Plan For Women,full_workout,home / small gym,muscle building,full body,women,beginner,6,4,45-60 minutes,Brad Borland,30,118,False,True,https://www.muscleandstrength.com/workouts/muscle-and-strength-30-day-womens-workout
muscle-and-strength-womens-fat-loss-workout,Muscle & Strength’s 10 Week Women’s Fat Loss Workout,program,fully equipped gym,fat loss,split,women,intermediate,7,10,60-75 minutes,M&S Team,6,39,False,True,https://www.muscleandstrength.com/workouts/muscle-and-strength-womens-fat-loss-workout
muscle-and-strength-womens-workout,Muscle & Strength’s Women's Trainer: 12 Week Women’s Workout Program,program,fully equipped gym,fat loss,split,women,beginner,5,12,45-60 minutes,Josh England,6,31,False,True,https://www.muscleandstrength.com/workouts/muscle-and-strength-womens-workout
muscle-mania-10-week-muscle-growth-workout,Muscle Mania: 10 Week Workout for Lean Gainz,program,fully equipped gym,muscle building,split,both,advanced,6,10,60-75 minutes,Josh England,6,36,False,True,https://www.muscleandstrength.com/workouts/muscle-mania-10-week-muscle-growth-workout
muscle-strength-full-body-workout-routine,Muscle & Strength Full Body Workout Routine,full_workout,home / small gym,muscle building,full body,both,beginner,3,12,45-60 minutes,Steve Shaw,3,25,True,True,https://www.muscleandstrength.com/workouts/muscle-strength-full-body-workout-routine
myers-glute-workout,Build the Best Glutes in Your Gym with These 3 Workouts,full_workout,fully equipped gym,fat loss,split,both,beginner,3,12,60-90 minutes,"Coach Dustin Myers, CSCS",3,19,True,True,https://www.muscleandstrength.com/workouts/myers-glute-workout
phase-training-pt-1-primer-workout,Phase Training Pt.1: 5 Week Primer Workout for Muscle Size,program,fully equipped gym,muscle building,split,men,beginner,3,5,45-60 minutes,Team SAN,3,30,False,True,https://www.muscleandstrength.com/workouts/phase-training-pt-1-primer-workout
phul-workout,Power Hypertrophy Upper Lower (P.H.U.L.) Workout,full_workout,fully equipped gym,muscle building,split,both,intermediate,4,12,45-60 minutes,Brandon Campbell,4,25,True,True,https://www.muscleandstrength.com/workouts/phul-workout
playground-workouts,Playground Workouts: Having Fun While Building the Body You Want,full_workout,body weight,fat loss,split,both,beginner,3,6,45-60 minutes,Brad Borland,4,21,False,True,https://www.muscleandstrength.com/workouts/playground-workouts
